timestamp,open,high,low,close,volume
1777623360000,92.85,92.92,92.73,92.73,947.8
1777623420000,92.73,92.82,92.72,92.81,159.1
1777623480000,92.82,92.84,92.81,92.83,88.4
1777623540000,92.82,92.83,92.76,92.76,387.8
1777623600000,92.76,92.87,92.74,92.83,489.1
1777623660000,92.82,92.82,92.75,92.8,220.9
1777623720000,92.8,92.8,92.74,92.8,126.1
1777623780000,92.8,92.8,92.74,92.76,201.0
1777623840000,92.75,92.87,92.75,92.79,291.4
1777623900000,92.78,92.78,92.71,92.76,381.8
1777623960000,92.76,92.85,92.73,92.8,387.7
1777624020000,92.79,92.8,92.75,92.75,79.0
1777624080000,92.76,92.8,92.76,92.79,65.4
1777624140000,92.79,92.79,92.69,92.7,216.7
1777624200000,92.7,92.72,92.58,92.58,620.9
1777624260000,92.59,92.65,92.58,92.64,118.8
1777624320000,92.64,92.66,92.58,92.58,94.4
1777624380000,92.58,92.59,92.53,92.58,234.3
1777624440000,92.58,92.61,92.58,92.6,202.0
1777624500000,92.6,92.69,92.54,92.63,475.2
1777624560000,92.63,92.63,92.6,92.61,55.2
1777624620000,92.61,92.69,92.6,92.67,254.4
1777624680000,92.68,92.69,92.65,92.66,85.5
1777624740000,92.65,92.72,92.65,92.69,922.0
1777624800000,92.69,92.71,92.65,92.7,100.9
1777624860000,92.7,92.72,92.67,92.7,131.7
1777624920000,92.7,92.71,92.67,92.67,60.7
1777624980000,92.67,92.7,92.64,92.7,126.3
1777625040000,92.7,92.7,92.69,92.7,55.1
1777625100000,92.7,92.74,92.67,92.69,756.3
1777625160000,92.69,92.78,92.68,92.77,176.3
1777625220000,92.77,92.78,92.7,92.77,131.4
1777625280000,92.77,92.79,92.73,92.75,334.7
1777625340000,92.75,92.8,92.74,92.8,70.8
1777625400000,92.79,92.86,92.78,92.86,208.5
1777625460000,92.86,92.88,92.85,92.86,114.9
1777625520000,92.86,92.88,92.85,92.85,67.1
1777625580000,92.86,92.88,92.69,92.73,3400.1
1777625640000,92.73,92.78,92.73,92.78,529.4
1777625700000,92.77,92.78,92.75,92.75,135.7
1777625760000,92.75,92.81,92.71,92.76,880.4
1777625820000,92.75,92.76,92.73,92.74,67.6
1777625880000,92.75,92.79,92.71,92.76,1227.6
1777625940000,92.77,92.77,92.75,92.75,31.3
1777626000000,92.75,92.79,92.75,92.79,167.3
1777626060000,92.78,92.81,92.72,92.72,460.0
1777626120000,92.72,92.76,92.65,92.65,759.2
1777626180000,92.64,92.68,92.62,92.64,257.2
1777626240000,92.64,92.71,92.64,92.67,428.8
1777626300000,92.67,92.76,92.67,92.76,624.8
1777626360000,92.76,92.77,92.74,92.76,84.5
1777626420000,92.77,92.77,92.7,92.7,155.3
1777626480000,92.7,92.78,92.7,92.75,327.9
