timestamp,open,high,low,close,volume
1777623360000,8.399,8.401,8.389,8.389,7445.89
1777623420000,8.389,8.394,8.389,8.393,884.39
1777623480000,8.394,8.396,8.393,8.395,630.75
1777623540000,8.395,8.395,8.391,8.392,356.34
1777623600000,8.391,8.4,8.391,8.395,1141.38
1777623660000,8.395,8.4,8.392,8.398,1158.69
1777623720000,8.397,8.399,8.394,8.398,622.6
1777623780000,8.397,8.399,8.396,8.399,253.61
1777623840000,8.399,8.408,8.399,8.404,1163.57
1777623900000,8.403,8.403,8.399,8.401,1975.63
1777623960000,8.4,8.4,8.394,8.396,2446.75
1777624020000,8.395,8.398,8.395,8.396,504.47
1777624080000,8.396,8.4,8.396,8.4,213.44
1777624140000,8.4,8.402,8.395,8.395,458.6
1777624200000,8.396,8.399,8.396,8.398,312.63
1777624260000,8.398,8.4,8.398,8.4,248.71
1777624320000,8.4,8.403,8.4,8.403,254.01
1777624380000,8.403,8.403,8.401,8.401,516.71
1777624440000,8.401,8.402,8.396,8.396,394.46
1777624500000,8.397,8.401,8.397,8.4,347.23
1777624560000,8.4,8.4,8.397,8.397,518.02
1777624620000,8.396,8.399,8.394,8.399,1381.16
1777624680000,8.399,8.399,8.395,8.396,285.37
1777624740000,8.396,8.398,8.395,8.395,468.99
1777624800000,8.394,8.396,8.392,8.396,914.83
1777624860000,8.395,8.396,8.393,8.395,919.58
1777624920000,8.395,8.395,8.394,8.395,161.7
1777624980000,8.395,8.395,8.393,8.394,324.31
1777625040000,8.394,8.395,8.394,8.394,138.88
1777625100000,8.394,8.398,8.394,8.395,954.79
1777625160000,8.394,8.399,8.394,8.398,591.7
1777625220000,8.399,8.399,8.395,8.395,254.24
1777625280000,8.396,8.396,8.394,8.394,162.26
1777625340000,8.394,8.395,8.393,8.394,385.19
1777625400000,8.394,8.397,8.394,8.394,400.35
1777625460000,8.394,8.397,8.394,8.397,476.31
1777625520000,8.396,8.397,8.394,8.396,1116.13
1777625580000,8.396,8.398,8.395,8.397,447.3
1777625640000,8.397,8.405,8.396,8.398,6653.85
