timestamp,open,high,low,close,volume
1777623360000,3.565,3.569,3.555,3.556,22416.6
1777623420000,3.556,3.561,3.555,3.556,10852.4
1777623480000,3.558,3.559,3.555,3.557,5627.5
1777623540000,3.558,3.558,3.555,3.555,3661.6
1777623600000,3.556,3.556,3.548,3.554,8685.8
1777623660000,3.554,3.562,3.549,3.562,22725.7
1777623720000,3.561,3.563,3.56,3.563,3763.9
1777623780000,3.564,3.564,3.557,3.557,4721.9
1777623840000,3.558,3.569,3.558,3.564,13201.0
1777623900000,3.563,3.571,3.563,3.568,17936.9
1777623960000,3.567,3.572,3.567,3.569,31422.5
1777624020000,3.568,3.569,3.565,3.565,12377.4
1777624080000,3.566,3.574,3.564,3.573,12438.8
1777624140000,3.572,3.572,3.561,3.561,4336.3
1777624200000,3.561,3.562,3.535,3.537,40232.0
1777624260000,3.538,3.545,3.537,3.544,9671.2
1777624320000,3.544,3.547,3.541,3.543,4458.2
1777624380000,3.543,3.543,3.541,3.542,2061.3
1777624440000,3.542,3.543,3.536,3.536,3566.4
1777624500000,3.537,3.545,3.536,3.542,7494.9
1777624560000,3.542,3.545,3.541,3.545,3029.6
1777624620000,3.544,3.545,3.541,3.541,3057.7
1777624680000,3.541,3.541,3.534,3.535,7022.5
1777624740000,3.535,3.536,3.534,3.535,3507.3
1777624800000,3.535,3.539,3.532,3.538,7572.3
1777624860000,3.539,3.545,3.538,3.542,3966.8
1777624920000,3.541,3.544,3.54,3.544,2304.4
1777624980000,3.544,3.546,3.541,3.544,4471.8
1777625040000,3.545,3.548,3.541,3.543,8127.8
1777625100000,3.543,3.546,3.54,3.542,6045.1
1777625160000,3.542,3.552,3.542,3.55,4041.8
1777625220000,3.55,3.551,3.549,3.55,1247.8
1777625280000,3.549,3.559,3.549,3.556,6490.4
1777625340000,3.557,3.567,3.556,3.565,11452.1
1777625400000,3.566,3.566,3.562,3.562,4069.2
1777625460000,3.563,3.568,3.558,3.559,15882.0
1777625520000,3.559,3.562,3.559,3.56,2007.3
1777625580000,3.559,3.565,3.559,3.564,2210.6
1777625640000,3.565,3.57,3.563,3.564,7170.4
1777625700000,3.565,3.569,3.563,3.564,2735.5
1777625760000,3.564,3.572,3.564,3.565,16136.3
1777625820000,3.566,3.567,3.564,3.567,2353.5
1777625880000,3.566,3.576,3.566,3.576,7527.0
1777625940000,3.577,3.577,3.571,3.573,3383.8
1777626000000,3.573,3.58,3.573,3.578,9948.4
1777626060000,3.578,3.584,3.577,3.582,9816.4
1777626120000,3.582,3.585,3.578,3.581,11144.5
1777626180000,3.582,3.584,3.578,3.578,4853.6
1777626240000,3.578,3.579,3.576,3.576,4303.9
1777626300000,3.576,3.576,3.574,3.575,3764.4
1777626360000,3.576,3.579,3.576,3.578,2328.9
1777626420000,3.578,3.578,3.576,3.578,1683.8
1777626480000,3.578,3.579,3.576,3.578,911.6
1777626540000,3.579,3.58,3.568,3.575,14406.2
1777626600000,3.576,3.582,3.568,3.568,18503.9
1777626660000,3.569,3.569,3.558,3.558,5216.0
1777626720000,3.559,3.567,3.557,3.564,6861.7
1777626780000,3.563,3.565,3.561,3.564,2397.8
1777626840000,3.564,3.57,3.564,3.566,4676.6
1777626900000,3.567,3.574,3.567,3.572,5535.3
1777626960000,3.572,3.573,3.566,3.567,5260.9
1777627020000,3.567,3.575,3.567,3.574,4791.8
1777627080000,3.575,3.579,3.574,3.578,2390.2
1777627140000,3.578,3.578,3.569,3.569,5070.7
1777627200000,3.57,3.575,3.568,3.568,4600.8
1777627260000,3.569,3.57,3.557,3.557,7592.1
1777627320000,3.556,3.561,3.552,3.561,8362.8
1777627380000,3.561,3.566,3.561,3.564,1307.4
1777627440000,3.564,3.564,3.559,3.56,5031.3
1777627500000,3.56,3.567,3.56,3.562,15413.7
1777627560000,3.561,3.57,3.558,3.566,14075.4
1777627620000,3.567,3.569,3.56,3.561,4466.4
1777627680000,3.561,3.561,3.553,3.557,10902.3
1777627740000,3.556,3.559,3.556,3.557,1858.1
1777627800000,3.558,3.563,3.557,3.562,2944.5
1777627860000,3.563,3.565,3.558,3.559,9956.4
1777627920000,3.559,3.568,3.557,3.567,2202.9
1777627980000,3.567,3.567,3.561,3.562,1612.2
1777628040000,3.561,3.564,3.559,3.564,953.2
1777628100000,3.564,3.564,3.56,3.56,674.8
1777628160000,3.56,3.563,3.558,3.563,1396.1
1777628220000,3.563,3.564,3.561,3.564,1252.8
1777628280000,3.563,3.563,3.557,3.562,3452.7
1777628340000,3.563,3.57,3.561,3.566,3360.7
1777628400000,3.566,3.566,3.56,3.563,3495.9
1777628460000,3.562,3.568,3.562,3.566,1937.6
1777628520000,3.566,3.57,3.566,3.57,3177.3
1777628580000,3.57,3.576,3.565,3.568,5312.2
1777628640000,3.568,3.568,3.562,3.565,1313.8
1777628700000,3.565,3.568,3.564,3.566,1977.8
1777628760000,3.566,3.567,3.563,3.563,1278.5
1777628820000,3.562,3.564,3.562,3.564,1628.0
1777628880000,3.563,3.568,3.559,3.56,3835.8
1777628940000,3.559,3.56,3.552,3.556,5741.5
1777629000000,3.556,3.561,3.556,3.561,3175.7
1777629060000,3.561,3.563,3.56,3.562,1385.8
1777629120000,3.561,3.563,3.558,3.56,2521.2
1777629180000,3.561,3.561,3.558,3.559,915.4
1777629240000,3.559,3.565,3.558,3.559,3847.6
1777629300000,3.559,3.565,3.559,3.565,1501.7
1777629360000,3.564,3.565,3.562,3.562,533.9
1777629420000,3.561,3.563,3.558,3.562,1374.6
1777629480000,3.563,3.566,3.56,3.56,2593.5
1777629540000,3.56,3.561,3.558,3.56,2310.4
1777629600000,3.561,3.572,3.561,3.569,10100.5
1777629660000,3.569,3.576,3.566,3.571,6423.6
1777629720000,3.572,3.575,3.569,3.569,7814.6
1777629780000,3.57,3.57,3.567,3.57,1082.3
1777629840000,3.57,3.574,3.569,3.572,4721.1
1777629900000,3.572,3.572,3.57,3.571,1809.7
1777629960000,3.572,3.575,3.572,3.575,1872.1
1777630020000,3.575,3.576,3.572,3.575,1505.6
1777630080000,3.575,3.575,3.568,3.57,3274.4
1777630140000,3.57,3.575,3.565,3.565,2397.0
1777630200000,3.564,3.564,3.558,3.56,4472.8
1777630260000,3.56,3.56,3.551,3.556,4144.4
1777630320000,3.556,3.562,3.555,3.561,1760.1
1777630380000,3.561,3.566,3.56,3.565,1331.7
1777630440000,3.565,3.573,3.565,3.572,3877.5
1777630500000,3.572,3.579,3.571,3.578,5890.4
1777630560000,3.578,3.586,3.575,3.58,15347.0
1777630620000,3.581,3.584,3.579,3.579,9307.0
1777630680000,3.58,3.584,3.58,3.584,2095.9
1777630740000,3.584,3.585,3.578,3.578,13001.4
1777630800000,3.578,3.581,3.578,3.58,1083.0
1777630860000,3.581,3.582,3.575,3.581,4438.3
1777630920000,3.582,3.584,3.581,3.582,2352.1
1777630980000,3.583,3.586,3.582,3.582,4925.6
1777631040000,3.582,3.593,3.58,3.581,12498.1
1777631100000,3.58,3.586,3.577,3.584,7915.2
1777631160000,3.583,3.584,3.58,3.581,3002.8
1777631220000,3.581,3.584,3.58,3.581,1535.4
1777631280000,3.582,3.582,3.574,3.577,11731.6
