timestamp,open,high,low,close,volume
1777623360000,4.725,4.727,4.718,4.721,284.0
1777623420000,4.719,4.725,4.717,4.723,241.4
1777623480000,4.723,4.726,4.721,4.726,310.7
1777623540000,4.726,4.729,4.725,4.726,372.2
1777623600000,4.725,4.729,4.724,4.728,274.4
1777623660000,4.727,4.73,4.726,4.73,138.8
1777623720000,4.729,4.73,4.728,4.73,70.5
1777623780000,4.729,4.73,4.729,4.73,29.6
1777623840000,4.729,4.731,4.728,4.73,242.2
1777623900000,4.729,4.729,4.726,4.726,37.5
1777623960000,4.725,4.727,4.725,4.725,40.4
1777624020000,4.727,4.727,4.727,4.727,11.2
1777624080000,4.726,4.726,4.726,4.726,26.2
1777624140000,4.726,4.726,4.721,4.722,97.5
1777624200000,4.721,4.721,4.721,4.721,1.5
1777624260000,4.722,4.725,4.72,4.725,111.7
1777624320000,4.725,4.726,4.724,4.726,118.9
1777624380000,4.725,4.725,4.725,4.725,2.3
1777624440000,4.726,4.728,4.725,4.728,75.8
1777624500000,4.727,4.728,4.727,4.727,42.8
1777624560000,4.727,4.728,4.727,4.727,19.1
1777624620000,4.726,4.729,4.725,4.729,41.0
1777624680000,4.729,4.73,4.725,4.725,21.4
1777624740000,4.726,4.728,4.726,4.728,41.2
1777624800000,4.726,4.727,4.726,4.727,22.4
1777624860000,4.726,4.728,4.726,4.728,3.3
1777624920000,4.728,4.728,4.725,4.726,175.1
1777624980000,4.725,4.725,4.725,4.725,0.1
1777625040000,4.725,4.725,4.725,4.725,6.3
1777625100000,4.726,4.726,4.726,4.726,1.7
1777625160000,4.725,4.729,4.725,4.729,179.3
1777625220000,4.73,4.73,4.727,4.727,1093.1
1777625280000,4.727,4.727,4.727,4.727,12.6
1777625340000,4.727,4.728,4.727,4.728,44.7
1777625400000,4.728,4.732,4.728,4.73,95.7
1777625460000,4.73,4.731,4.73,4.731,87.5
1777625520000,4.731,4.731,4.731,4.731,6.1
1777625580000,4.731,4.733,4.731,4.733,87.2
1777625640000,4.733,4.744,4.733,4.744,725.4
1777625700000,4.745,4.745,4.742,4.742,184.0
1777625760000,4.741,4.743,4.741,4.743,106.2
1777625820000,4.742,4.742,4.739,4.74,109.6
1777625880000,4.739,4.739,4.739,4.739,1.1
1777625940000,4.739,4.739,4.736,4.738,136.0
1777626000000,4.738,4.738,4.737,4.737,19.2
1777626060000,4.738,4.739,4.73,4.732,357.2
1777626120000,4.732,4.734,4.726,4.726,551.5
1777626180000,4.728,4.729,4.724,4.724,87.9
1777626240000,4.725,4.729,4.725,4.729,208.9
1777626300000,4.729,4.731,4.728,4.731,109.4
1777626360000,4.732,4.737,4.732,4.737,2453.1
1777626420000,4.738,4.738,4.738,4.738,19.6
1777626480000,4.738,4.738,4.737,4.737,200.5
1777626540000,4.737,4.737,4.734,4.734,63.4
1777626600000,4.736,4.737,4.736,4.737,5.2
1777626660000,4.735,4.737,4.734,4.734,111.7
1777626720000,4.734,4.734,4.728,4.728,196.5
1777626780000,4.728,4.728,4.726,4.727,41.6
1777626840000,4.727,4.727,4.726,4.727,16.5
1777626900000,4.727,4.727,4.723,4.727,2189.0
1777626960000,4.728,4.729,4.728,4.729,17.0
1777627020000,4.729,4.73,4.727,4.729,196.2
1777627080000,4.729,4.729,4.728,4.728,7.2
1777627140000,4.728,4.73,4.727,4.727,301.2
1777627200000,4.729,4.73,4.728,4.73,13.7
1777627260000,4.73,4.731,4.726,4.726,150.5
1777627320000,4.726,4.729,4.725,4.729,37.3
1777627380000,4.73,4.737,4.73,4.736,1106.3
1777627440000,4.736,4.742,4.736,4.741,1157.4
1777627500000,4.741,4.741,4.732,4.732,299.2
1777627560000,4.731,4.731,4.73,4.73,11.5
1777627620000,4.73,4.735,4.729,4.73,463.3
1777627680000,4.729,4.732,4.729,4.732,24.6
1777627740000,4.732,4.732,4.731,4.732,19.8
1777627800000,4.732,4.732,4.729,4.729,213.8
1777627860000,4.731,4.731,4.729,4.73,53.3
1777627920000,4.731,4.731,4.728,4.728,68.3
1777627980000,4.727,4.727,4.715,4.719,1939.4
1777628040000,4.719,4.719,4.718,4.718,41.3
1777628100000,4.718,4.718,4.716,4.716,63.2
1777628160000,4.715,4.715,4.713,4.713,156.8
1777628220000,4.713,4.715,4.713,4.714,36.8
1777628280000,4.714,4.714,4.711,4.711,67.9
1777628340000,4.71,4.711,4.708,4.711,131.7
1777628400000,4.711,4.711,4.711,4.711,24.4
1777628460000,4.71,4.711,4.71,4.711,39.1
1777628520000,4.709,4.709,4.708,4.708,45.1
1777628580000,4.709,4.709,4.709,4.709,20.6
1777628640000,4.709,4.71,4.708,4.708,42.5
1777628700000,4.709,4.709,4.703,4.704,379.6
1777628760000,4.704,4.705,4.704,4.705,33.5
1777628820000,4.705,4.706,4.703,4.704,102.6
1777628880000,4.704,4.704,4.703,4.703,106.0
1777628940000,4.702,4.702,4.69,4.7,1379.7
1777629000000,4.699,4.7,4.699,4.7,38.4
1777629060000,4.701,4.706,4.7,4.704,382.4
1777629120000,4.705,4.705,4.702,4.702,23.5
1777629180000,4.702,4.703,4.701,4.703,58.8
1777629240000,4.703,4.703,4.702,4.702,11.8
1777629300000,4.702,4.704,4.696,4.702,420.9
1777629360000,4.704,4.705,4.703,4.705,13.3
1777629420000,4.705,4.705,4.702,4.702,28.7
1777629480000,4.703,4.703,4.703,4.703,2.2
1777629540000,4.703,4.707,4.703,4.707,81.5
1777629600000,4.705,4.708,4.705,4.707,199.0
1777629660000,4.707,4.707,4.705,4.707,151.3
1777629720000,4.707,4.707,4.707,4.707,33.3
1777629780000,4.707,4.707,4.706,4.707,16.8
1777629840000,4.706,4.707,4.706,4.707,122.3
1777629900000,4.707,4.708,4.707,4.708,66.5
1777629960000,4.708,4.71,4.705,4.709,446.3
1777630020000,4.707,4.707,4.704,4.704,97.2
1777630080000,4.703,4.703,4.7,4.7,114.0
1777630140000,4.7,4.7,4.699,4.699,167.6
1777630200000,4.698,4.698,4.692,4.692,131.7
1777630260000,4.692,4.693,4.685,4.687,237.5
1777630320000,4.687,4.691,4.687,4.69,288.0
1777630380000,4.69,4.695,4.69,4.695,52.4
1777630440000,4.696,4.696,4.696,4.696,7.1
1777630500000,4.695,4.697,4.695,4.695,59.0
1777630560000,4.695,4.7,4.695,4.7,63.4
1777630620000,4.7,4.703,4.699,4.699,106.6
1777630680000,4.698,4.698,4.697,4.697,53.8
1777630740000,4.697,4.697,4.695,4.697,121.2
1777630800000,4.697,4.697,4.696,4.696,21.8
1777630860000,4.696,4.698,4.696,4.698,25.7
1777630920000,4.697,4.699,4.697,4.697,59.6
1777630980000,4.697,4.698,4.696,4.698,39.0
1777631040000,4.698,4.698,4.695,4.696,144.6
1777631100000,4.695,4.696,4.694,4.695,125.5
1777631160000,4.695,4.697,4.694,4.697,182.5
1777631220000,4.695,4.699,4.695,4.697,170.4
1777631280000,4.696,4.698,4.696,4.696,92.6
1777631340000,4.695,4.695,4.694,4.695,65.9
1777631400000,4.695,4.699,4.695,4.699,114.3
1777631460000,4.698,4.7,4.698,4.699,134.4
1777631520000,4.7,4.703,4.698,4.701,445.0
1777631580000,4.699,4.701,4.696,4.697,158.9
1777631640000,4.697,4.705,4.696,4.705,956.7
1777631700000,4.705,4.705,4.703,4.703,103.4
1777631760000,4.702,4.703,4.701,4.703,153.6
1777631820000,4.703,4.703,4.696,4.698,602.4
1777631880000,4.697,4.697,4.695,4.695,31.0
1777631940000,4.696,4.7,4.696,4.696,246.3
1777632000000,4.696,4.698,4.696,4.698,23.6
1777632060000,4.698,4.698,4.697,4.698,98.4
1777632120000,4.698,4.698,4.698,4.698,123.2
1777632180000,4.698,4.699,4.698,4.699,11.5
1777632240000,4.699,4.7,4.698,4.698,78.1
1777632300000,4.698,4.699,4.698,4.699,65.4
1777632360000,4.699,4.7,4.699,4.7,23.7
1777632420000,4.701,4.71,4.701,4.71,179.6
1777632480000,4.709,4.712,4.709,4.71,81.8
1777632540000,4.71,4.71,4.704,4.708,440.6
1777632600000,4.706,4.708,4.706,4.706,19.8
1777632660000,4.707,4.708,4.706,4.706,42.1
1777632720000,4.706,4.707,4.706,4.707,5.2
1777632780000,4.707,4.707,4.706,4.707,49.9
1777632840000,4.708,4.708,4.708,4.708,4.2
1777632900000,4.707,4.708,4.707,4.708,5.3
1777632960000,4.707,4.708,4.702,4.705,327.1
1777633020000,4.706,4.706,4.706,4.706,8.4
1777633080000,4.706,4.707,4.705,4.705,11.5
1777633140000,4.707,4.708,4.707,4.708,31.6
1777633200000,4.709,4.711,4.707,4.707,165.7
1777633260000,4.706,4.706,4.704,4.704,29.5
1777633320000,4.705,4.705,4.705,4.705,37.5
1777633380000,4.706,4.713,4.706,4.713,436.9
1777633440000,4.712,4.715,4.709,4.71,316.2
1777633500000,4.71,4.71,4.703,4.706,2361.1
1777633560000,4.705,4.708,4.705,4.708,33.0
1777633620000,4.708,4.713,4.708,4.713,109.4
1777633680000,4.714,4.715,4.713,4.713,145.4
1777633740000,4.712,4.712,4.709,4.709,119.8
1777633800000,4.709,4.709,4.705,4.706,564.6
1777633860000,4.706,4.706,4.705,4.705,32.1
1777633920000,4.705,4.706,4.705,4.706,65.1
1777633980000,4.707,4.707,4.707,4.707,1.8
1777634040000,4.707,4.71,4.707,4.709,111.7
1777634100000,4.71,4.71,4.708,4.708,61.2
1777634160000,4.71,4.71,4.71,4.71,45.3
1777634220000,4.711,4.712,4.711,4.712,31.2
1777634280000,4.712,4.714,4.712,4.712,50.6
1777634340000,4.714,4.714,4.709,4.71,211.4
1777634400000,4.71,4.712,4.71,4.71,78.7
1777634460000,4.712,4.717,4.712,4.715,236.2
1777634520000,4.715,4.715,4.711,4.711,240.8
1777634580000,4.71,4.71,4.706,4.706,170.5
1777634640000,4.706,4.706,4.706,4.706,45.3
1777634700000,4.706,4.707,4.704,4.706,42.8
1777634760000,4.707,4.707,4.706,4.707,16.8
1777634820000,4.706,4.706,4.704,4.704,5.2
1777634880000,4.705,4.705,4.701,4.702,123.9
1777634940000,4.703,4.703,4.702,4.702,25.0
1777635000000,4.701,4.704,4.701,4.704,110.4
