timestamp,open,high,low,close,volume
1777623360000,4.316,4.317,4.312,4.312,3486.1
1777623420000,4.312,4.314,4.31,4.313,3172.6
1777623480000,4.313,4.317,4.313,4.315,6082.0
1777623540000,4.314,4.314,4.309,4.311,1505.0
1777623600000,4.31,4.313,4.309,4.309,2715.5
1777623660000,4.308,4.314,4.304,4.312,1612.9
1777623720000,4.312,4.312,4.31,4.31,1054.7
1777623780000,4.31,4.312,4.309,4.311,2020.9
1777623840000,4.311,4.317,4.308,4.313,6416.2
1777623900000,4.312,4.312,4.308,4.31,1625.8
1777623960000,4.31,4.312,4.307,4.31,2811.0
1777624020000,4.31,4.313,4.307,4.307,2528.0
1777624080000,4.307,4.314,4.307,4.312,1345.5
1777624140000,4.312,4.312,4.309,4.311,1567.3
1777624200000,4.311,4.311,4.309,4.311,2030.9
1777624260000,4.311,4.317,4.31,4.315,2683.1
1777624320000,4.315,4.32,4.313,4.316,1788.8
1777624380000,4.316,4.316,4.312,4.313,1241.1
1777624440000,4.312,4.313,4.31,4.313,1488.0
1777624500000,4.312,4.316,4.308,4.314,7959.9
1777624560000,4.314,4.316,4.311,4.313,2747.4
1777624620000,4.312,4.316,4.309,4.315,4584.1
1777624680000,4.315,4.318,4.313,4.314,5466.4
1777624740000,4.314,4.315,4.309,4.311,4058.1
1777624800000,4.311,4.311,4.305,4.309,9168.9
1777624860000,4.309,4.311,4.306,4.31,3840.6
1777624920000,4.31,4.31,4.309,4.31,572.3
1777624980000,4.309,4.31,4.306,4.31,1848.3
1777625040000,4.31,4.312,4.309,4.31,310.1
1777625100000,4.311,4.311,4.308,4.308,827.3
1777625160000,4.308,4.32,4.308,4.318,10905.2
1777625220000,4.318,4.319,4.317,4.318,1434.2
1777625280000,4.317,4.319,4.316,4.319,1530.6
1777625340000,4.318,4.319,4.318,4.318,1156.1
1777625400000,4.319,4.321,4.318,4.32,1901.4
1777625460000,4.32,4.328,4.319,4.324,11003.9
1777625520000,4.323,4.324,4.322,4.322,1013.5
1777625580000,4.322,4.325,4.322,4.323,1215.8
1777625640000,4.323,4.324,4.321,4.324,1062.5
1777625700000,4.324,4.326,4.323,4.324,2217.8
1777625760000,4.323,4.323,4.318,4.318,1382.6
1777625820000,4.318,4.318,4.317,4.317,527.9
1777625880000,4.317,4.318,4.316,4.316,213.5
1777625940000,4.317,4.317,4.313,4.315,1798.1
1777626000000,4.315,4.318,4.313,4.318,2090.7
1777626060000,4.317,4.319,4.316,4.316,1602.9
1777626120000,4.316,4.321,4.315,4.32,1765.2
1777626180000,4.32,4.326,4.319,4.325,3241.9
1777626240000,4.324,4.328,4.323,4.326,2815.0
1777626300000,4.325,4.327,4.322,4.326,1337.9
1777626360000,4.327,4.331,4.324,4.326,3668.9
1777626420000,4.325,4.325,4.319,4.321,2701.4
1777626480000,4.321,4.326,4.321,4.324,3556.8
1777626540000,4.323,4.323,4.321,4.321,1811.9
1777626600000,4.322,4.325,4.321,4.324,2018.5
1777626660000,4.323,4.323,4.322,4.322,1012.1
1777626720000,4.322,4.322,4.319,4.321,1021.7
1777626780000,4.32,4.32,4.317,4.319,1937.8
1777626840000,4.32,4.321,4.319,4.32,2677.6
1777626900000,4.32,4.322,4.32,4.322,277.5
1777626960000,4.322,4.322,4.316,4.317,2018.4
1777627020000,4.317,4.324,4.316,4.321,3689.0
1777627080000,4.322,4.325,4.322,4.324,456.4
1777627140000,4.324,4.326,4.316,4.317,1918.1
1777627200000,4.316,4.316,4.312,4.312,606.2
1777627260000,4.312,4.315,4.31,4.311,6856.1
1777627320000,4.31,4.32,4.308,4.319,4987.9
1777627380000,4.32,4.323,4.318,4.318,3414.2
1777627440000,4.318,4.32,4.318,4.318,994.6
1777627500000,4.318,4.318,4.317,4.318,1395.6
1777627560000,4.318,4.318,4.314,4.317,5640.1
1777627620000,4.317,4.318,4.314,4.315,899.0
1777627680000,4.316,4.317,4.314,4.316,1460.7
1777627740000,4.316,4.319,4.316,4.318,452.8
1777627800000,4.318,4.32,4.316,4.32,2436.2
1777627860000,4.319,4.32,4.316,4.318,1988.8
1777627920000,4.318,4.32,4.317,4.318,2074.2
1777627980000,4.318,4.318,4.314,4.314,1304.8
1777628040000,4.313,4.313,4.308,4.31,1523.8
1777628100000,4.311,4.315,4.31,4.313,725.9
1777628160000,4.313,4.313,4.309,4.309,1395.0
1777628220000,4.31,4.311,4.309,4.31,988.8
1777628280000,4.31,4.312,4.309,4.311,5037.3
1777628340000,4.311,4.311,4.303,4.308,6638.5
1777628400000,4.308,4.309,4.307,4.308,812.4
1777628460000,4.307,4.308,4.302,4.303,3921.1
1777628520000,4.304,4.306,4.303,4.306,1023.8
1777628580000,4.305,4.305,4.303,4.303,493.5
1777628640000,4.304,4.304,4.301,4.302,2041.6
1777628700000,4.303,4.303,4.296,4.296,9660.8
1777628760000,4.297,4.298,4.291,4.295,14281.1
1777628820000,4.296,4.299,4.295,4.297,1443.9
1777628880000,4.297,4.298,4.292,4.292,3336.7
1777628940000,4.292,4.292,4.286,4.292,12564.7
1777629000000,4.291,4.293,4.289,4.292,1028.7
1777629060000,4.293,4.293,4.285,4.289,18359.2
1777629120000,4.289,4.29,4.288,4.289,1620.7
1777629180000,4.289,4.297,4.288,4.295,1519.8
1777629240000,4.295,4.298,4.295,4.296,2065.3
1777629300000,4.295,4.298,4.295,4.295,1707.0
1777629360000,4.295,4.299,4.295,4.299,836.9
1777629420000,4.298,4.298,4.296,4.296,711.4
1777629480000,4.297,4.302,4.297,4.301,7612.2
1777629540000,4.3,4.307,4.299,4.305,10814.4
1777629600000,4.305,4.313,4.305,4.31,8953.5
1777629660000,4.31,4.312,4.308,4.308,6542.0
1777629720000,4.308,4.311,4.305,4.311,3469.8
1777629780000,4.311,4.312,4.307,4.307,6404.7
1777629840000,4.307,4.309,4.306,4.309,1893.8
1777629900000,4.308,4.311,4.307,4.307,1918.1
1777629960000,4.308,4.308,4.304,4.304,1020.8
1777630020000,4.304,4.305,4.301,4.302,346.7
1777630080000,4.301,4.302,4.3,4.3,2220.7
1777630140000,4.3,4.3,4.296,4.297,621.5
1777630200000,4.297,4.297,4.287,4.289,2698.1
1777630260000,4.288,4.288,4.272,4.278,17185.2
1777630320000,4.278,4.286,4.278,4.285,3057.5
1777630380000,4.285,4.289,4.283,4.289,4348.8
1777630440000,4.289,4.294,4.289,4.29,2621.1
1777630500000,4.29,4.292,4.29,4.29,1237.6
1777630560000,4.29,4.295,4.29,4.295,1067.5
1777630620000,4.296,4.3,4.295,4.299,2842.1
1777630680000,4.3,4.3,4.297,4.297,567.6
1777630740000,4.297,4.301,4.297,4.301,1583.9
1777630800000,4.299,4.301,4.296,4.298,3647.9
1777630860000,4.298,4.303,4.295,4.301,2169.3
1777630920000,4.301,4.301,4.298,4.298,2854.4
1777630980000,4.298,4.299,4.295,4.298,2855.2
1777631040000,4.297,4.297,4.294,4.295,873.7
1777631100000,4.294,4.296,4.289,4.296,1634.6
1777631160000,4.295,4.297,4.294,4.295,1016.8
1777631220000,4.295,4.296,4.293,4.293,509.0
1777631280000,4.293,4.293,4.289,4.289,917.5
1777631340000,4.289,4.296,4.288,4.295,1528.2
1777631400000,4.295,4.296,4.294,4.296,996.7
1777631460000,4.295,4.296,4.293,4.294,2165.1
1777631520000,4.294,4.298,4.294,4.294,3574.9
1777631580000,4.294,4.295,4.292,4.294,1181.0
1777631640000,4.294,4.3,4.292,4.298,1613.9
1777631700000,4.299,4.3,4.294,4.296,8042.7
1777631760000,4.295,4.296,4.294,4.294,658.5
1777631820000,4.293,4.294,4.288,4.291,1668.5
1777631880000,4.291,4.292,4.29,4.29,912.8
1777631940000,4.29,4.29,4.286,4.286,1749.6
1777632000000,4.286,4.293,4.286,4.293,2431.3
1777632060000,4.293,4.294,4.292,4.293,560.0
1777632120000,4.292,4.294,4.291,4.294,375.3
