timestamp,open,high,low,close,volume
1777623360000,84.23,84.28,84.13,84.14,40756.72
1777623420000,84.14,84.15,84.13,84.14,5711.18
1777623480000,84.14,84.14,84.11,84.11,6260.26
1777623540000,84.12,84.12,84.1,84.1,5110.15
1777623600000,84.11,84.2,84.1,84.16,22290.31
1777623660000,84.17,84.17,84.11,84.15,5303.11
1777623720000,84.14,84.16,84.1,84.15,5952.35
1777623780000,84.15,84.16,84.11,84.12,5836.77
1777623840000,84.12,84.21,84.11,84.18,10612.43
1777623900000,84.18,84.18,84.13,84.15,9718.44
1777623960000,84.14,84.16,84.12,84.12,21754.28
1777624020000,84.12,84.15,84.11,84.14,2355.33
1777624080000,84.14,84.17,84.13,84.16,7616.03
1777624140000,84.15,84.17,84.11,84.11,7137.39
1777624200000,84.12,84.14,84.1,84.11,5154.31
1777624260000,84.1,84.12,84.09,84.11,4753.85
1777624320000,84.11,84.13,84.1,84.11,3926.97
1777624380000,84.12,84.12,84.09,84.11,3921.72
1777624440000,84.11,84.11,84.08,84.08,12691.84
1777624500000,84.08,84.1,84.03,84.08,38999.3
1777624560000,84.07,84.07,84.02,84.03,13261.8
1777624620000,84.04,84.11,84.03,84.09,12819.93
1777624680000,84.09,84.12,84.06,84.09,4646.79
1777624740000,84.09,84.11,84.08,84.11,5959.11
1777624800000,84.11,84.16,84.08,84.16,5292.01
1777624860000,84.15,84.16,84.14,84.16,3863.85
1777624920000,84.15,84.16,84.13,84.14,3947.91
1777624980000,84.15,84.15,84.12,84.13,3616.34
1777625040000,84.13,84.13,84.11,84.11,1438.38
1777625100000,84.12,84.12,84.08,84.09,2119.04
1777625160000,84.09,84.12,84.08,84.11,4655.96
1777625220000,84.11,84.13,84.1,84.11,4629.37
1777625280000,84.12,84.12,84.1,84.1,727.51
1777625340000,84.1,84.12,84.1,84.12,5457.66
1777625400000,84.12,84.15,84.11,84.13,3492.25
1777625460000,84.13,84.14,84.12,84.14,2087.4
1777625520000,84.13,84.14,84.13,84.14,909.96
1777625580000,84.14,84.14,84.13,84.13,772.06
1777625640000,84.14,84.14,84.12,84.13,1472.33
1777625700000,84.13,84.13,84.12,84.13,1645.75
1777625760000,84.13,84.14,84.12,84.13,1486.9
1777625820000,84.14,84.14,84.13,84.13,1528.92
1777625880000,84.14,84.15,84.13,84.15,2673.16
1777625940000,84.15,84.16,84.13,84.13,4136.72
1777626000000,84.14,84.15,84.12,84.12,2732.05
1777626060000,84.13,84.13,84.08,84.08,2270.17
1777626120000,84.09,84.09,84.06,84.06,2665.02
1777626180000,84.07,84.07,84.02,84.02,12466.83
1777626240000,84.02,84.08,84.02,84.06,10318.75
1777626300000,84.05,84.08,84.04,84.08,2767.7
1777626360000,84.08,84.08,84.07,84.08,2094.97
1777626420000,84.07,84.08,84.05,84.05,6371.93
1777626480000,84.06,84.06,84.05,84.05,1484.26
